"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"TP4","TP_0.8_SMD","-6.2497mm","-5.8497mm","-6.2497mm","-5.8497mm","-6.2497mm","-5.8497mm","B","90.00","TPS"
"BC8","CS-1005","14.9mm","4.35mm","14.9mm","4.35mm","14.9mm","4.8mm","B","270.00","1uF"
"J2","05003HR-H34E","-4mm","-9.672mm","-4mm","-11mm","4.2503mm","-8.3502mm","B","0.00","05003HR-H34E"
"U6","IMX219-PLCC32","0mm","0mm","0mm","0mm","-3.425mm","-0.35mm","T","90.00","IMX219PLCC32"
"U5","SOT-23-5P","12.05mm","-10.15mm","12.05mm","-10.15mm","13mm","-11.5mm","B","180.00","SGM2036-1.2YN5G/TR"
"U3","SOT-23-5P","6.55mm","8.45mm","6.55mm","8.45mm","7.9mm","9.4mm","B","270.00","SGM2036-2.8YN5G/TR"
"U2","SOT23-6","-3.8mm","13mm","-3.8mm","13mm","-5.1mm","12.05mm","B","270.00","TPS61165DBVR"
"TP6","TP_0.8_SMD","-9.2497mm","-5.8497mm","-9.2497mm","-5.8497mm","-9.2497mm","-5.8497mm","B","90.00","TPS"
"TP5","TP_0.8_SMD","-8.5mm","-4.6mm","-8.5mm","-4.6mm","-8.5mm","-4.6mm","B","90.00","TPS"
"R14","RS-1005","-4mm","7.9mm","-4mm","7.9mm","-4mm","7.45mm","B","90.00","10K"
"D1","PowerDI123","-0.7125mm","16mm","-0.4mm","16mm","-2.25mm","16mm","B","180.00","DFLS140"
"U4","SOT-23-5P","13.95mm","0.7mm","13.95mm","0.7mm","14.9mm","-0.65mm","B","180.00","SGM2036-1.8YN5G/TR"
"TP2","TP_0.8_SMD","-7.7763mm","-5.8497mm","-7.7763mm","-5.8497mm","-7.7763mm","-5.8497mm","B","90.00","TPS"
"TP1","TP_0.8_SMD","-7.0265mm","-4.6mm","-7.0265mm","-4.6mm","-7.0265mm","-4.6mm","B","90.00","TPS"
"R12","RS-1005","-1.1mm","0.1mm","-1.1mm","0.1mm","-1.1mm","0.55mm","B","270.00","10K//NI"
"R11","RS-1005","-2.3mm","0.1mm","-2.3mm","0.1mm","-2.3mm","0.55mm","B","270.00","10K//NI"
